term,language,classification,tier,file,surface,context,occurrences,customer_importance,ru_proposal,ro_proposal,english_once,owner_decision_required,tier_1_reason,decision_critical,conversion_risk,first_time_owner_comprehension,notes
"Fitness","RO","A","1","ro/index.html ro/questionnaire.html","PROSE","În imobiliare și închiriere activul este imobilul și chiriașul. În Retail — raftul, categoria și articol de stoc. În comerț cu ridicata / distribuție — depozitu","3","MEDIUM","Фитнес / спортивный бизнес","Fitness / activități sportive","NO","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL",""
"OpenAI","RO","C","1","ro/privacy.html","PROSE","— pregătirea unui plan analitic intern de lucru pe solicitarea dvs. În OpenAI se transmit","3","MEDIUM","OpenAI","OpenAI","NO","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","PASS","proper company name"
"NDA","RO","B","1","ro/privacy.html ro/questionnaire.html","PROSE","9. Lucrul la distanță, confidențialitatea și NDA","3","MEDIUM","Соглашение о неразглашении","Acord de confidențialitate","YES","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL",""
"Spend","RU","A","1","ai-agent-economics.html index.html","PROSE","ИИ Spend","2","MEDIUM","Расходы","Cheltuieli","NO","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL",""
"Automation","RU","A","1","ai-dlya-cfo.html index.html","PROSE","База знаний · искусственный интеллект Automation","2","MEDIUM","Автоматизация","Automatizare","NO","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL",""
"Telegram-","RU","A","1","ai-dlya-cfo.html questionnaire.html","PROSE","Команда тратила много времени на ручной сбор еженедельных отчётов. После настройки сценариев автоматизации и Telegram-уведомлений отчёты стали приходить сами, а","2","MEDIUM","","","NO","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL","wording not yet proposed — long tail"
"Monthly owner report","RU","E","1","business-control-system.html index.html","PROSE","Monthly owner report","2","MEDIUM","Ежемесячный отчёт собственника","Raportul lunar al proprietarului","YES","YES","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL","deliverable name"
"Limb","RU","A","1","index.html","PROSE","Язык · Limbă","2","MEDIUM","","","NO","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL","wording not yet proposed — long tail"
"risk traffic light","RU","A","1","index.html real-estate-control-system.html","PROSE","NOI, vacancy, tenant rating, rent vs market, deposit coverage, капитальные вложения payback, cash flow, risk traffic light.","2","MEDIUM","светофор рисков","semafor de risc","NO","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL",""
"profitability","RU","A","1","index.html","PROSE","Target Marja, margin per meter, товарная позиция profitability, Margin Gap, финансирование товарной полки поставщиком, retrobonus, promo economics.","2","MEDIUM","прибыльность","profitabilitate","NO","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL",""
"Monthly","RU","A","1","index.html","PROSE","Регулярный финансовый контроль (Monthly) или BI / автоматизация.","2","MEDIUM","Ежемесячно","Lunar","NO","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL",""
"action list","RU","A","1","index.html monthly-cfo-support.html","PROSE","Короткий список управленческих действий (action list)","2","MEDIUM","список действий","listă de acțiuni","NO","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL",""
"Digital","RU","A","1","index.html materials.html","PROSE","Digital · Power BI · автоматизация","2","MEDIUM","Цифровой","Digital","NO","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL",""
"mini-scan","RU","A","1","index.html","CTA BUTTON","Не готовы к полному рентгену? Начните с mini-scan оборотного капитала","2","MEDIUM","мини-диагностика","mini-diagnostic","NO","NO","Appears in a button, card or formula where the customer decides.","YES","LOW","FAIL",""
"Zoom","RU","C","1","questionnaire.html","PROSE","Еженедельные Zoom/Meet встречи","2","MEDIUM","Zoom","Zoom","NO","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","PASS","proper product name"
"Spend","RO","A","1","ro/ai-agent-economics.html ro/index.html","PROSE","IA Spend","2","MEDIUM","Расходы","Cheltuieli","NO","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL",""
"Automation","RO","A","1","ro/ai-dlya-cfo.html ro/index.html","PROSE","n8n / Make director financiar Automation","2","MEDIUM","Автоматизация","Automatizare","NO","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL",""
"Monthly owner report","RO","E","1","ro/business-control-system.html ro/index.html","PROSE","Monthly owner report","2","MEDIUM","Ежемесячный отчёт собственника","Raportul lunar al proprietarului","YES","YES","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL","deliverable name"
"Zoom","RO","C","1","ro/questionnaire.html","PROSE","Întâlniri săptămânale Zoom/Meet","2","MEDIUM","Zoom","Zoom","NO","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","PASS","proper product name"
"Selectarea limbii","RU","A","1","index.html","ARIA","Selectarea limbii / Выбор языка","1","MEDIUM","","","NO","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL","wording not yet proposed — long tail"
"ROM","RU","A","1","index.html","PROSE","ROMÂNĂ","1","MEDIUM","","","NO","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL","wording not yet proposed — long tail"
"SCROLL","RU","A","1","index.html","PROSE","SCROLL","1","MEDIUM","","","NO","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL","wording not yet proposed — long tail"
"Cap Rate","RU","B","1","index.html","PROSE","Арендаторы и договоры, NOI, Cap Rate, vacancy, капитальные вложения , tenant rating, окупаемость.","1","MEDIUM","Ставка капитализации","Rata de capitalizare","YES","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL",""
"deposit coverage","RU","A","1","index.html","PROSE","NOI, vacancy, tenant rating, rent vs market, deposit coverage, капитальные вложения payback, cash flow, risk traffic light.","1","MEDIUM","","","NO","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL","wording not yet proposed — long tail"
"payback","RU","A","1","index.html","PROSE","NOI, vacancy, tenant rating, rent vs market, deposit coverage, капитальные вложения payback, cash flow, risk traffic light.","1","MEDIUM","","","NO","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL","wording not yet proposed — long tail"
"RETAIL ENGINE","RU","E","1","index.html","CARD","RETAIL ENGINE","1","MEDIUM","СИСТЕМА УПРАВЛЕНИЯ МАРЖОЙ","SISTEM DE MANAGEMENT AL MARJEI","NO","YES","Appears in a button, card or formula where the customer decides.","YES","LOW","FAIL","module-name fragment"
"margin per meter","RU","A","1","index.html","PROSE","Target Marja, margin per meter, товарная позиция profitability, Margin Gap, финансирование товарной полки поставщиком, retrobonus, promo economics.","1","MEDIUM","","","NO","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL","wording not yet proposed — long tail"
"promo economics","RU","A","1","index.html","PROSE","Target Marja, margin per meter, товарная позиция profitability, Margin Gap, финансирование товарной полки поставщиком, retrobonus, promo economics.","1","MEDIUM","","","NO","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL","wording not yet proposed — long tail"
